alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Response
3.56,0.281,4.19,3.38,2.95,-0.0433,Agressive,Agressive
3.59,0.278,4.18,3.46,2.88,-0.0474,Agressive,Agressive
3.59,0.279,4.26,3.51,2.76,-0.0401,Agressive,Agressive
3.48,0.288,4.25,3.58,2.63,-0.0416,Agressive,Agressive
3.21,0.312,4.27,3.63,2.54,-0.0556,Agressive,Agressive
3.15,0.318,4.23,3.69,2.45,-0.0632,Agressive,Agressive
3.15,0.318,4.22,3.93,2.52,-0.0621,Agressive,Agressive
3.14,0.318,4.21,4.11,2.57,-0.0546,Agressive,Agressive
3.15,0.317,3.89,4.1,2.45,-0.052,Agressive,Agressive
3.09,0.324,3.77,3.94,2.4,-0.0507,Agressive,Agressive
2.68,0.373,3.65,3.91,2.29,-0.0299,Agressive,Agressive
2.34,0.428,3.66,3.99,2.36,0.0531,Agressive,Agressive
2.44,0.41,3.49,3.97,2.39,0.0324,Agressive,Agressive
2.46,0.407,3.31,3.96,3.14,0.00787,Agressive,Agressive
2.44,0.409,3.87,4.31,3.45,0.00276,Agressive,Agressive
3.92,0.255,3.81,5.84,3.54,-0.0199,Agressive,Agressive
4.92,0.203,3.83,6.78,3.62,-0.012,Agressive,Agressive
5.17,0.194,3.94,7.05,3.65,-0.012,Agressive,Agressive
5.24,0.191,4.06,7.1,3.74,-0.012,Agressive,Agressive
5.27,0.19,4.33,7.11,3.88,-0.0119,Agressive,Agressive
5.28,0.189,4.5,7.13,4.06,-0.0124,Agressive,Agressive
5.3,0.189,5.11,7.19,4.45,-0.0113,Agressive,Agressive
5.5,0.182,5.23,7.24,4.46,-0.00736,Agressive,Agressive
5.75,0.174,5.29,7.75,4.49,-0.00426,Agressive,Agressive
5.85,0.171,5.84,8.15,4.44,-0.00351,Agressive,Agressive
6.01,0.166,6.03,8.19,4.52,0.000635,Agressive,Agressive
6.08,0.164,6.12,8.42,4.56,0.00311,Agressive,Agressive
6,0.167,6.14,8.73,4.59,0.00246,Agressive,Agressive
5.97,0.168,6.14,8.87,4.59,0.00276,Agressive,Agressive
5.99,0.167,6.16,8.92,4.52,0.00371,Agressive,Agressive
6.04,0.165,6.12,8.97,4.52,0.00453,Agressive,Agressive
6.16,0.162,6.08,8.99,4.57,0.00486,Agressive,Agressive
6.21,0.161,5.93,8.99,4.68,0.00486,Agressive,Agressive
6.12,0.163,6.14,8.92,4.98,0.00516,Agressive,Agressive
5.92,0.169,6.3,8.75,4.98,0.00622,Agressive,Agressive
5.86,0.171,6.23,8.73,4.99,0.00616,Agressive,Agressive
5.57,0.18,6.17,8.68,4.96,0.00235,Agressive,Agressive
5.82,0.172,6.15,8.44,4.9,0.00224,Agressive,Agressive
6.19,0.162,6.13,8.24,4.91,0.0029,Agressive,Agressive
6.24,0.16,6.12,8.11,4.91,0.00276,Agressive,Agressive
6.21,0.161,6.09,7.96,4.91,0.00182,Agressive,Agressive
6.16,0.162,6.09,7.85,4.9,0.00105,Agressive,Agressive
6.08,0.164,6.05,7.84,4.7,0.000263,Agressive,Agressive
6.02,0.166,6.03,7.83,4.42,-0.00039,Agressive,Agressive
6.03,0.166,5.57,7.81,3.82,0.000136,Agressive,Agressive
6.04,0.166,5.15,7.73,3.64,0.000402,Agressive,Agressive
6.04,0.165,4.39,7.62,3.43,0.000425,Agressive,Agressive
5.91,0.169,4.2,7.46,3.2,0.000954,Agressive,Agressive
5.19,0.193,4.26,6.86,3.14,0.00335,Agressive,Agressive
4.29,0.233,4.25,6.02,3,0.00464,Agressive,Agressive
3.94,0.254,4.29,5.32,2.84,0.0116,Agressive,Agressive
3.77,0.265,4.29,4.79,2.85,0.0196,Agressive,Agressive
3.59,0.279,4.44,4.51,2.85,0.0278,Agressive,Agressive
3.57,0.28,4.47,4.72,2.63,0.0264,Agressive,Agressive
3.64,0.275,4.45,4.76,2.62,0.0233,Agressive,Agressive
3.54,0.282,4.42,4.81,2.64,0.0135,Agressive,Agressive
3.3,0.303,4.33,4.97,2.44,-0.00668,Agressive,Agressive
3.25,0.307,4.08,5.02,2.67,-0.00816,Agressive,Agressive
3.34,0.3,4.16,5.02,2.69,-0.000233,Agressive,Agressive
3.4,0.294,4.11,5.01,2.7,0.00911,Agressive,Agressive
3.46,0.289,4.11,5.02,2.7,0.013,Agressive,Agressive
3.48,0.287,4.16,5.06,2.69,0.0148,Agressive,Agressive
3.49,0.286,4,5.08,2.53,0.0173,Agressive,Agressive
3.56,0.281,3.86,5.06,2.52,0.026,Agressive,Agressive
3.59,0.278,3.81,5.07,2.54,0.0369,Agressive,Agressive
3.52,0.284,3.86,5.21,2.56,0.0355,Agressive,Agressive
3.46,0.289,3.97,5.19,2.69,0.0321,Agressive,Agressive
3.5,0.285,4.1,5.06,2.68,0.0294,Agressive,Agressive
3.59,0.278,4.01,5.03,2.69,0.0291,Agressive,Agressive
3.66,0.274,3.93,5.04,2.87,0.0291,Agressive,Agressive
3.64,0.275,3.96,5.07,2.84,0.0311,Agressive,Agressive
3.63,0.275,4.07,5.05,2.84,0.0385,Agressive,Agressive
3.68,0.272,4.12,5.01,2.82,0.0473,Agressive,Agressive
3.75,0.267,4.37,4.98,2.83,0.0537,Agressive,Agressive
3.7,0.271,4.46,4.79,2.93,0.0606,Agressive,Agressive
3.7,0.27,4.52,4.41,2.93,0.0565,Agressive,Agressive
