alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Response
3.92,0.255,2.86,3.9,1.35,-0.0108,Agressive,Agressive
3.91,0.255,2.81,4.48,1.22,0.000682,Agressive,Agressive
3.75,0.267,2.64,4.88,1.26,0.016,Agressive,Agressive
3.49,0.287,2.68,5.06,1.31,0.0348,Agressive,Agressive
3.3,0.303,2.76,5.09,1.26,0.0369,Agressive,Agressive
3.26,0.306,2.74,5.11,1.25,0.0384,Agressive,Agressive
3.28,0.305,2.7,5.13,1.27,0.0467,Agressive,Agressive
3.29,0.304,2.66,5.16,1.41,0.0622,Agressive,Agressive
3.33,0.3,2.66,5.22,1.58,0.071,Agressive,Agressive
3.26,0.307,2.57,5.25,1.59,0.0879,Agressive,Agressive
3.21,0.312,2.79,5.14,1.56,0.088,Agressive,Agressive
3.21,0.312,2.98,4.92,1.6,0.0743,Agressive,Agressive
3.18,0.314,3.2,4.56,1.6,0.0746,Agressive,Agressive
3.26,0.306,3.24,4.07,1.59,0.0672,Agressive,Agressive
3.39,0.295,3.27,3.84,1.52,0.0613,Agressive,Agressive
3.43,0.291,3.25,3.85,1.57,0.0648,Agressive,Agressive
3.43,0.292,3.26,3.8,1.62,0.0611,Agressive,Agressive
3.61,0.277,3.36,3.77,1.71,0.0318,Agressive,Agressive
3.88,0.258,3.43,3.75,1.59,0.00277,Agressive,Agressive
3.9,0.256,3.49,3.6,1.43,-0.0126,Agressive,Agressive
3.79,0.264,3.49,3.59,1.5,-0.0222,Agressive,Agressive
3.68,0.272,3.31,3.66,1.53,-0.0308,Agressive,Agressive
3.64,0.275,3.19,3.65,1.52,-0.0314,Agressive,Agressive
3.66,0.273,3.25,3.81,1.5,-0.0306,Agressive,Agressive
3.73,0.268,3.2,4.12,1.56,-0.0275,Agressive,Agressive
3.7,0.27,3.21,4.23,1.67,-0.0303,Agressive,Agressive
3.7,0.27,3.2,4.23,1.75,-0.0295,Agressive,Agressive
3.65,0.274,3.23,4.33,1.78,-0.028,Agressive,Agressive
3.36,0.298,3.19,4.45,1.75,-0.0194,Agressive,Agressive
3.01,0.333,3.22,4.44,1.72,0.0191,Agressive,Agressive
2.94,0.34,3.22,4.35,1.69,0.0589,Agressive,Agressive
2.99,0.335,3.23,4.33,1.64,0.0621,Agressive,Agressive
3.02,0.331,3.27,4.33,1.6,0.0442,Agressive,Agressive
3.15,0.318,3.18,4.35,1.67,0.0337,Agressive,Agressive
3.03,0.33,3.13,4.31,1.76,0.0352,Agressive,Agressive
2.8,0.357,3.18,4.13,1.69,0.028,Agressive,Agressive
