alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Response
4.15,0.241,3.63,3.04,2.21,0.0205,Agressive,Agressive
3.96,0.252,3.73,3.22,2.34,0.0237,Agressive,Agressive
3.78,0.264,3.72,3.47,2.33,0.0306,Agressive,Agressive
3.74,0.267,3.65,3.64,2.36,0.0409,Agressive,Agressive
3.75,0.267,3.39,3.75,2.3,0.0508,Agressive,Agressive
3.7,0.27,3.32,3.83,2.21,0.0489,Agressive,Agressive
3.56,0.281,3.3,3.97,2.13,0.0577,Agressive,Agressive
3.62,0.276,3.39,4.13,2.22,0.073,Agressive,Agressive
3.74,0.267,3.46,4.14,2.34,0.0712,Agressive,Agressive
3.78,0.264,3.37,4.15,2.38,0.0677,Agressive,Agressive
3.78,0.264,3.33,4.16,2.35,0.0689,Agressive,Agressive
3.78,0.265,3.29,4.11,2.36,0.08,Agressive,Agressive
3.81,0.263,3.44,4.02,2.35,0.0911,Agressive,Agressive
3.8,0.263,3.51,3.9,2.35,0.101,Agressive,Agressive
3.78,0.264,3.57,3.8,2.29,0.111,Agressive,Agressive
3.91,0.256,3.67,3.59,2.45,0.083,Agressive,Agressive
4.06,0.246,3.73,3.4,2.69,0.0571,Agressive,Agressive
4.02,0.249,3.7,3.07,2.69,0.0453,Agressive,Agressive
3.77,0.265,3.55,3.07,2.65,0.0374,Agressive,Agressive
3.57,0.28,3.58,3.28,2.53,0.0337,Agressive,Agressive
3.62,0.277,3.56,3.4,2.52,0.0294,Agressive,Agressive
3.69,0.271,3.51,3.51,2.53,0.0247,Agressive,Agressive
3.75,0.266,3.53,3.6,2.56,0.0153,Agressive,Agressive
3.86,0.259,3.49,3.67,2.56,0.0134,Agressive,Agressive
3.98,0.251,3.58,3.76,2.57,0.0203,Agressive,Agressive
4.15,0.241,3.59,3.71,2.62,0.0343,Agressive,Agressive
4.3,0.233,3.49,3.77,2.33,0.0534,Agressive,Agressive
4.35,0.23,3.48,3.85,2.14,0.0558,Agressive,Agressive
4.38,0.228,3.56,3.84,2.09,0.0479,Agressive,Agressive
4.39,0.228,3.6,3.81,2.13,0.043,Agressive,Agressive
4.39,0.228,3.59,3.74,2.45,0.0394,Agressive,Agressive
4.4,0.227,3.62,3.61,2.46,0.0358,Agressive,Agressive
4.39,0.228,3.58,3.53,2.48,0.0344,Agressive,Agressive
