alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Response
2.16,0.464,3.54,4.92,2.63,-0.0366,Agressive,Agressive
2.29,0.437,3.53,5.08,2.59,-0.00422,Agressive,Agressive
2.35,0.425,3.31,5.17,2.5,0.0254,Agressive,Agressive
2.33,0.43,3.13,5.2,2.59,0.093,Agressive,Agressive
2.27,0.44,3.01,5.17,2.55,0.159,Agressive,Agressive
2.44,0.409,3.04,5.09,2.46,0.142,Agressive,Agressive
2.7,0.371,3.04,5.02,2.41,0.0949,Agressive,Agressive
3.08,0.324,3.02,4.98,2.37,0.0446,Agressive,Agressive
3.31,0.302,2.67,4.97,2.34,0.0256,Agressive,Agressive
3.33,0.3,2.77,4.98,2.29,0.0186,Agressive,Agressive
3.36,0.298,2.91,4.91,2.18,0.0253,Agressive,Agressive
3.48,0.287,2.9,4.71,2.18,0.0261,Agressive,Agressive
3.64,0.275,3.1,4.52,2.29,0.0153,Agressive,Agressive
3.71,0.269,3.11,4.34,2.23,0.00345,Agressive,Agressive
3.73,0.268,3.22,4.05,2.19,-0.00136,Agressive,Agressive
3.77,0.266,3.26,4.11,2.09,-0.00103,Agressive,Agressive
3.87,0.259,3.36,4.74,2.18,-0.00419,Agressive,Agressive
3.91,0.256,3.5,5.12,2.21,-0.0031,Agressive,Agressive
3.85,0.26,3.52,5.2,2.43,-0.000844,Agressive,Agressive
3.82,0.262,3.48,5.3,2.57,0.00312,Agressive,Agressive
3.84,0.261,3.32,5.39,2.71,0.00159,Agressive,Agressive
3.86,0.259,3.3,5.4,2.79,-0.00693,Agressive,Agressive
3.78,0.265,3.28,5.42,2.78,-0.00931,Agressive,Agressive
3.63,0.276,3.14,5.41,2.79,-0.00292,Agressive,Agressive
3.55,0.281,3.18,5.4,2.74,0.00216,Agressive,Agressive
3.53,0.284,3.17,5.39,2.73,-0.00282,Agressive,Agressive
3.46,0.289,3.18,5.21,2.77,-0.00423,Agressive,Agressive
3.38,0.296,3.03,4.74,2.92,0.00423,Agressive,Agressive
3.25,0.308,3,4.66,2.93,0.0114,Agressive,Agressive
3.04,0.329,2.97,4.78,2.76,0.0154,Agressive,Agressive
3.02,0.331,2.96,4.7,2.67,0.0165,Agressive,Agressive
2.93,0.341,3.18,4.59,2.61,0.0319,Agressive,Agressive
2.77,0.362,3.24,4.66,2.58,0.0453,Agressive,Agressive
2.74,0.365,3.31,4.72,2.53,0.0451,Agressive,Agressive
2.88,0.348,3.41,4.73,2.48,0.0397,Agressive,Agressive
3.01,0.332,3.4,4.73,2.4,0.033,Agressive,Agressive
3,0.333,3.3,4.71,2.4,0.0403,Agressive,Agressive
2.82,0.354,3.38,4.77,2.21,0.051,Agressive,Agressive
2.69,0.372,3.42,4.81,2.01,0.0432,Agressive,Agressive
2.67,0.375,3.51,4.71,1.96,0.0164,Agressive,Agressive
2.71,0.369,3.52,4.64,1.94,-0.00642,Agressive,Agressive
2.84,0.352,3.51,4.86,1.94,-0.00832,Agressive,Agressive
2.89,0.346,3.42,5.1,1.68,-0.0127,Agressive,Agressive
2.88,0.348,3.37,5.13,1.77,-0.0113,Agressive,Agressive
2.9,0.345,3.39,5.1,2.1,-0.011,Agressive,Agressive
2.86,0.349,3.38,5.08,2.13,-0.0186,Agressive,Agressive
2.82,0.355,3.42,5.09,2.16,-0.0287,Agressive,Agressive
2.81,0.356,3.51,5.07,2.16,-0.0368,Agressive,Agressive
2.74,0.365,3.52,5,2.12,-0.0518,Agressive,Agressive
2.67,0.374,3.47,4.96,2.14,-0.0504,Agressive,Agressive
2.81,0.356,3.42,5.07,2.2,-0.0216,Agressive,Agressive
2.98,0.336,3.44,5.28,2.21,-0.0074,Agressive,Agressive
2.95,0.339,3.36,5.32,2.27,-0.00514,Agressive,Agressive
2.99,0.334,3.33,5.3,2.31,-0.00546,Agressive,Agressive
2.98,0.335,3.32,5.25,2.22,-0.00936,Agressive,Agressive
2.83,0.354,3.29,5.25,2.06,-0.0106,Agressive,Agressive
2.77,0.361,3.23,5.3,2.07,-0.0182,Agressive,Agressive
2.77,0.362,3.35,5.32,2.08,-0.0225,Agressive,Agressive
2.74,0.365,3.22,5.33,2.18,-0.0202,Agressive,Agressive
2.73,0.366,3.09,5.35,2.22,-0.0178,Agressive,Agressive
